,sample_id,genome_pos,gene,change,freq,type,sublin,drtype,drugs,weights
0,lineage3,12204,lineage3,change1,1,-,lineage3,-,-,1
1,lineage45,12555,lineage45,change2,1,-,lineage4.5,-,-,1
2,lineage1,811492,lineage1,change3,1,-,lineage1,-,-,1
3,lineage7,811642,lineage7,change4,1,-,lineage7,-,-,1
4,lineage2,811753,lineage2,change5,1,-,lineage2,-,-,1
5,lineage21,1135798,lineage21,change6,1,-,lineage2.1,-,-,1
6,lineage121,1136017,lineage121,change7,1,-,lineage1.2.1,-,-,1
7,lineage48,1227217,lineage48,change8,1,-,lineage4.8,-,-,1
8,lineage8,1227518,lineage8,change9,1,-,lineage8,-,-,1
9,lineage122,4238120,lineage122,change10,1,-,lineage1.2.2,-,-,1
10,lineage44,4238963,lineage44,change11,1,-,lineage4.4,-,-,1
