,Gene,SNP_coverage
0,pncA,937.0/981 (96%)
1,ethA,817.0/827 (99%)
2,katG,744.0/752 (99%)
3,tlyA,132.0/266 (50%)
4,rpoB,161.0/164 (98%)
5,gid,123.0/123 (100%)
6,embB,92.0/100 (92%)
7,rrs,26.0/26 (100%)
8,gyrB,25.0/25 (100%)
9,thyA,8.0/19 (42%)
10,folC,16.0/16 (100%)
11,gyrA,16.0/16 (100%)
12,embC,0.0/16 (0%)
13,ahpC,13.0/14 (93%)
14,embR,0.0/12 (0%)
15,ald,0.0/12 (0%)
16,rpsL,11.0/11 (100%)
17,eis,10.0/10 (100%)
18,inhA,9.0/9 (100%)
19,embA,4.0/8 (50%)
20,fabG1,8.0/8 (100%)
21,panD,0.0/8 (0%)
22,mmpR5,6.0/6 (100%)
23,kasA,0.0/4 (0%)
24,rpsA,0.0/3 (0%)
25,alr,2.0/3 (67%)
26,ddn,3.0/3 (100%)
27,ethR,2.0/2 (100%)
28,fgd1,0.0/2 (0%)
29,rrl,2.0/2 (100%)
30,fbiA,0.0/2 (0%)
31,ribD,0.0/1 (0%)
32,rplC,1.0/1 (100%)
33,thyX,1.0/1 (100%)
