,Gene,SNP_coverage
0,pncA,940.0/981 (96%)
1,ethA,0.0/827 (0%)
2,katG,384.0/752 (51%)
3,tlyA,0.0/266 (0%)
4,rpoB,161.0/164 (98%)
5,gid,0.0/123 (0%)
6,embB,92.0/100 (92%)
7,rrs,0.0/26 (0%)
8,gyrB,0.0/25 (0%)
9,thyA,0.0/19 (0%)
10,folC,0.0/16 (0%)
11,gyrA,0.0/16 (0%)
12,embC,0.0/16 (0%)
13,ahpC,0.0/14 (0%)
14,embR,0.0/12 (0%)
15,ald,0.0/12 (0%)
16,rpsL,11.0/11 (100%)
17,eis,0.0/10 (0%)
18,inhA,5.0/9 (56%)
19,embA,0.0/8 (0%)
20,fabG1,8.0/8 (100%)
21,panD,0.0/8 (0%)
22,mmpR5,0.0/6 (0%)
23,kasA,0.0/4 (0%)
24,rpsA,0.0/3 (0%)
25,alr,0.0/3 (0%)
26,ddn,0.0/3 (0%)
27,ethR,0.0/2 (0%)
28,fgd1,0.0/2 (0%)
29,rrl,0.0/2 (0%)
30,fbiA,0.0/2 (0%)
31,ribD,0.0/1 (0%)
32,rplC,0.0/1 (0%)
33,thyX,0.0/1 (0%)
