,Gene,SNP_coverage
0,rpoB,42622.0/43364 (98%)
1,katG,39993.0/40002 (100%)
2,embB,33115.0/33344 (99%)
3,pncA,33159.0/33251 (100%)
4,rpsL,22979.0/22979 (100%)
5,rrs,17791.0/17791 (100%)
6,fabG1,14208.0/14208 (100%)
7,gyrA,14048.0/14048 (100%)
8,ethA,11794.0/11814 (100%)
9,gid,8620.0/8620 (100%)
10,eis,5907.0/5907 (100%)
11,inhA,4168.0/4168 (100%)
12,embA,3848.0/3876 (99%)
13,ahpC,1606.0/1607 (100%)
14,gyrB,1558.0/1558 (100%)
15,folC,1516.0/1516 (100%)
16,ethR,1425.0/1425 (100%)
17,thyX,1125.0/1125 (100%)
18,tlyA,790.0/1060 (75%)
19,alr,758.0/917 (83%)
20,thyA,0.0/840 (0%)
21,ald,0.0/498 (0%)
22,embC,0.0/432 (0%)
23,mmpR5,329.0/329 (100%)
24,rplC,0.0/246 (0%)
25,ddn,0.0/192 (0%)
26,panD,0.0/146 (0%)
27,rrl,0.0/83 (0%)
28,kasA,0.0/81 (0%)
29,embR,0.0/68 (0%)
30,fbiA,0.0/33 (0%)
31,rpsA,0.0/13 (0%)
32,ribD,0.0/9 (0%)
33,fgd1,0.0/3 (0%)
