sample_id,genome_pos,gene,change,freq,type,sublin,drtype,drugs,weight
sample_1,321168,gene_1,change_1,1,-,-,-,-,1
sample_2,551767,gene_2,change_2,1,-,-,-,-,1
sample_3,1017188,gene_3,change_3,1,-,-,-,-,1
sample_4,1119158,gene_4,change_4,1,-,-,-,-,1
sample_5,1119347,gene_5,change_5,1,-,-,-,-,1
sample_6,1414872,gene_6,change_6,1,-,-,-,-,1
sample_7,1618228,gene_7,change_7,1,-,-,-,-,1
sample_8,2115960,gene_8,change_8,1,-,-,-,-,1
sample_9,2212842,gene_9,change_9,1,-,-,-,-,1
sample_10,2177571,gene_10,change_10,1,-,-,-,-,1
sample_11,2119514,gene_11,change_11,1,-,-,-,-,1
sample_12,2199861,gene_12,change_12,1,-,-,-,-,1
sample_13,3102929,gene_13,change_13,1,-,-,-,-,1
sample_14,3158931,gene_14,change_14,1,-,-,-,-,1
sample_15,3174725,gene_15,change_15,1,-,-,-,-,1
sample_16,3190313,gene_16,change_16,1,-,-,-,-,1
sample_17,3181400,gene_17,change_17,1,-,-,-,-,1
sample_18,3181480,gene_18,change_18,1,-,-,-,-,1
sample_19,4116612,gene_19,change_19,1,-,-,-,-,1
